iter	TotalF1	MultiClass
322	0.6761463209	0.7390790059
323	0.676922777	0.7387354358
324	0.6770959682	0.7383735689
325	0.6764542883	0.7380885591
326	0.6770132315	0.737499434
327	0.6772564361	0.7369797931
328	0.6779906278	0.7366242628
329	0.6789261824	0.7359596689
330	0.6794490709	0.7356064035
331	0.6801098603	0.7352516931
332	0.6795634907	0.7349166131
333	0.6811918332	0.7345391118
334	0.6823443707	0.7341080654
335	0.6812385345	0.7337998812
336	0.6821196093	0.7332476895
337	0.6817284035	0.7327161944
338	0.682887304	0.7322430491
339	0.6833965006	0.7316322614
340	0.6833737646	0.7313093597
341	0.6842451489	0.7306684989
342	0.6846327093	0.7302614764
343	0.684413346	0.7299756621
344	0.6856242836	0.7295765763
345	0.6856027714	0.7292520237
346	0.6865829014	0.7287968932
347	0.6870107871	0.7282402326
348	0.6871962894	0.7279299549
349	0.6873390601	0.7274274804
350	0.687679654	0.7270499392
351	0.6873539844	0.7264977299
352	0.6884052656	0.726050482
353	0.6883275622	0.7253846655
354	0.689088422	0.7246947773
355	0.6885478108	0.7243746282
356	0.6892372469	0.7239284051
357	0.689621635	0.7234176142
358	0.6902322773	0.7229481812
359	0.6911466686	0.7223821052
360	0.6908728281	0.7219980042
361	0.6917320737	0.7215266926
362	0.6919599642	0.7209499334
363	0.6914401894	0.720492912
364	0.6923147952	0.7200976767
365	0.6917963616	0.7195569616
366	0.6925205258	0.7190353111
367	0.6936861438	0.7187561488
368	0.6935545624	0.7182539915
369	0.6936220468	0.718066984
370	0.6940363695	0.71785458
371	0.6945728634	0.7174237951
372	0.6946391784	0.7172455439
373	0.694169919	0.7166808127
374	0.6947694398	0.7162707013
375	0.6942444421	0.7157451475
376	0.6945586065	0.7154790316
377	0.6955261518	0.715089634
378	0.6965111425	0.7147642346
379	0.6967990296	0.7142830239
380	0.6965303165	0.7135726604
381	0.6970186133	0.7130853786
382	0.6975956523	0.7127045601
383	0.6975339145	0.7122644103
384	0.6979314255	0.7117886707
385	0.6980445616	0.7112381804
386	0.6985706606	0.7109569779
387	0.6980650679	0.7107643169
388	0.6979692495	0.7103050031
389	0.6993769296	0.7098886548
390	0.6995289109	0.709453415
391	0.6993336465	0.7090681547
392	0.6996891032	0.7086057006
393	0.6998628317	0.7082703516
394	0.7002726887	0.7079206137
395	0.7006795332	0.7075318873
396	0.7012082783	0.7070942842
397	0.7012402241	0.7067647109
398	0.7011793496	0.7064602728
399	0.7009027424	0.7059677436
400	0.7010382645	0.7055146648
401	0.7014218251	0.7048125007
402	0.7022939007	0.7044766992
403	0.7019385875	0.7039876314
404	0.7027995437	0.7035720184
405	0.7028578465	0.7031434066
406	0.7033995228	0.7027136096
407	0.7034988905	0.7022335245
408	0.7037577694	0.7019228932
409	0.7041917924	0.7016051962
410	0.704176441	0.7013036131
411	0.7041713647	0.7009902144
412	0.7041341891	0.7007196593
413	0.7045569087	0.7003995195
414	0.7046620361	0.7001762974
415	0.7043854306	0.6997391117
416	0.7043370186	0.6992102887
417	0.7067662761	0.6988231786
418	0.7069324853	0.6982119897
419	0.7068469413	0.6976945609
420	0.7070720443	0.6972251119
421	0.7080657637	0.6966417271
422	0.7077217569	0.6963143889
423	0.7081888766	0.6960818187
424	0.7082567018	0.6955887137
425	0.7077550919	0.6951461373
426	0.7075452449	0.6949249934
427	0.7082574617	0.6946136497
428	0.7082276787	0.6942332731
429	0.7093996734	0.6936253204
430	0.7091340602	0.6933129527
431	0.7088309234	0.6930062443
432	0.7090642913	0.6926847658
433	0.7099982823	0.6920770987
434	0.7101098173	0.6917397461
435	0.7101646684	0.6913447691
436	0.7106675577	0.6910151759
437	0.711262679	0.6905650702
438	0.7113618359	0.6901658842
439	0.7111703463	0.6897669808
440	0.711423304	0.6892979259
441	0.7111596436	0.6889528716
442	0.7120822798	0.6886226876
443	0.7124068642	0.6882484571
444	0.7130732494	0.6879817812
445	0.712912322	0.6877179919
446	0.7133299917	0.6872968391
447	0.7132097278	0.6869907982
448	0.7133068622	0.6866612794
449	0.7135473938	0.6862778972
450	0.7140225584	0.6858213344
451	0.7143038095	0.6853603048
452	0.7144349851	0.6850493449
453	0.7149311927	0.6846583711
454	0.7146128883	0.6842385038
455	0.714193895	0.6839349302
456	0.7137939493	0.6834826625
457	0.7139244582	0.6832701156
458	0.7150395489	0.6828114652
459	0.7153486273	0.6825574475
460	0.7153572551	0.6821825781
461	0.7161097336	0.6817509767
462	0.7170066105	0.681088832
463	0.7167806266	0.6807000482
464	0.7164399959	0.6804323131
465	0.7166052449	0.6801843365
466	0.7173856058	0.6797806568
467	0.7174973499	0.6795995548
468	0.7167868688	0.679144853
469	0.7171229822	0.6788646913
470	0.7171077076	0.6784928038
471	0.7174904181	0.6780855051
472	0.7178001778	0.6776911174
473	0.7178042491	0.6773119286
474	0.718005024	0.6769229787
475	0.7182431136	0.6763664549
476	0.718386307	0.6761863107
477	0.7183828498	0.6758422165
478	0.7184827009	0.6756373665
479	0.7189907618	0.6751939116
480	0.7195108793	0.67469016
481	0.7196865256	0.6743908265
482	0.7202185208	0.6741342792
483	0.7202194754	0.6738642195
484	0.7201815505	0.6733924142
485	0.7208378361	0.6729184042
486	0.7208523939	0.6724453482
487	0.7214928692	0.6719607639
488	0.7217434535	0.6716599897
489	0.7212832053	0.671069591
490	0.7221015018	0.6706545547
491	0.7222113422	0.6704960997
492	0.7222914619	0.6700028806
493	0.7221266838	0.6696897091
494	0.7226774282	0.6691827428
495	0.7230787421	0.6686904382
496	0.7231831669	0.6685331868
497	0.7237878324	0.6681544616
498	0.7236123532	0.6677916476
499	0.7239585179	0.6676116269
500	0.723912816	0.6674503914
501	0.7241046867	0.6672126037
502	0.7238640458	0.6669639237
503	0.7245671813	0.6667048946
504	0.7245403912	0.6664513152
505	0.7251477049	0.6660205782
506	0.725653819	0.6658274381
507	0.7253672456	0.6655570646
508	0.7255966622	0.6653634176
509	0.726342922	0.6651243027
510	0.7266137184	0.6647913034
511	0.727269837	0.664388748
512	0.7274739052	0.6639707231
513	0.727562084	0.6636143043
514	0.7276774786	0.6634565903
515	0.7276713508	0.6631992945
516	0.7278309454	0.6627534179
517	0.7280035234	0.6624074444
518	0.7277313361	0.6621924402
519	0.7287793474	0.6618743416
520	0.7291837906	0.6615343201
521	0.7292615185	0.6611319742
522	0.7296201766	0.6609177858
523	0.7295524291	0.6605771166
524	0.7295792336	0.6601559988
525	0.7296507219	0.6599715699
526	0.729906868	0.659457582
527	0.7303775458	0.659015811
528	0.7304301212	0.6587045005
529	0.7304307796	0.6583717866
530	0.7308663482	0.6580892519
531	0.7312857669	0.6576412844
532	0.7320531631	0.6573755639
533	0.7316991124	0.6570531472
534	0.7318312167	0.6568835763
535	0.7317982576	0.656619088
536	0.7315175939	0.6562609796
537	0.7312627407	0.6559724467
538	0.730981523	0.6557171798
539	0.7308397049	0.6555691282
540	0.7305403685	0.6552469653
541	0.731071098	0.6550749313
542	0.731679677	0.6546002021
543	0.7319785501	0.6542500792
544	0.7323611792	0.6539237774
545	0.7322233182	0.6535690888
546	0.7317537417	0.653440545
547	0.73218346	0.6530785825
548	0.7320273246	0.6527879335
549	0.7318882527	0.6525322268
550	0.7321744294	0.6522375361
551	0.7324224669	0.6520071393
552	0.732455892	0.6517327822
553	0.7324089823	0.6514765621
554	0.7331772367	0.6511542298
555	0.7336153077	0.6507460421
556	0.7341412651	0.6503796375
557	0.7346709932	0.6501229779
558	0.7354314565	0.6498312382
559	0.7349150624	0.6495556318
560	0.7350136999	0.6492691887
561	0.7355432124	0.6489329902
562	0.7359702482	0.648652065
563	0.7357306128	0.6482323848
564	0.73581427	0.6479631367
565	0.7356470571	0.647698128
566	0.7363848996	0.647297627
567	0.7364612629	0.646853693
568	0.7364277	0.6466140445
569	0.736751134	0.6463037434
570	0.7364955743	0.6460782546
571	0.736508842	0.6458255728
572	0.7365614974	0.6456065625
573	0.737117462	0.6454042465
574	0.7379935449	0.6450854456
575	0.7380180673	0.6448542103
576	0.7377036463	0.6443942741
577	0.7380115512	0.6441967917
578	0.7384590603	0.6437756578
579	0.738523699	0.6435368126
580	0.7386107344	0.6432823762
581	0.738691937	0.6430050733
582	0.7385725241	0.6426393093
583	0.7389825135	0.6423349382
584	0.7390031615	0.6419943124
585	0.7391012405	0.6416820028
586	0.7392480036	0.6414493759
587	0.7396687003	0.6411199093
588	0.7396725131	0.6408153406
589	0.7396987971	0.6406400839
590	0.740259743	0.6401669908
591	0.7403898994	0.6400527311
592	0.7406650192	0.6397841404
593	0.7404173106	0.6396520776
594	0.7406449657	0.639423209
595	0.7403068233	0.6391528936
596	0.7407126901	0.6389751246
597	0.740765857	0.6386618462
598	0.7405673858	0.6382843678
599	0.740698972	0.6378930229
600	0.7409447139	0.6377316459
601	0.7408096783	0.6374550875
602	0.7408079493	0.6373496233
603	0.7412264535	0.6369504227
604	0.7422641248	0.6365268872
605	0.7420119264	0.6361358497
606	0.7421196129	0.635953203
607	0.742388877	0.6357018721
608	0.7422993843	0.6353367427
609	0.7425095449	0.6350254021
610	0.7428290768	0.6347609658
611	0.7438204111	0.6344837475
612	0.7435765991	0.6342474359
613	0.7434950023	0.63400479
614	0.7439400947	0.6336705477
615	0.7437565283	0.6332752469
616	0.7442161366	0.6328915003
617	0.7442369754	0.6327098363
618	0.7448616405	0.632247274
619	0.7450622759	0.6317768152
620	0.7449596599	0.6314947594
621	0.7452681981	0.6313137746
622	0.7449017294	0.6311054061
623	0.7448903638	0.6308798906
624	0.7452109536	0.6306732064
625	0.7451241601	0.6303101173
626	0.7454943589	0.6299476413
627	0.7454663304	0.6296510439
628	0.7456159141	0.629402817
629	0.7456089065	0.6292537328
630	0.7455545132	0.6290179294
631	0.7456965057	0.6286644307
632	0.7457964207	0.6284694198
633	0.7457818107	0.6282020475
634	0.745957858	0.6279331462
635	0.746060152	0.6277515123
636	0.7460004927	0.6275311063
637	0.746150417	0.6272417745
638	0.7460057348	0.6269040029
639	0.7459569435	0.6264697503
640	0.7465460437	0.6261397915
641	0.7466678415	0.625751533
642	0.7470825557	0.6253123331
643	0.7470766687	0.625090942
644	0.7471154161	0.6249272044
645	0.747162523	0.6246246812
646	0.7472778684	0.6243824363
647	0.7472827511	0.6242322027
648	0.74783863	0.6239403771
649	0.7480458062	0.6235848348
650	0.7481830925	0.6231985876
651	0.7480743112	0.6229350331
652	0.7483771272	0.6226258126
653	0.748626781	0.6223533717
654	0.7486737701	0.6220652939
655	0.7493063381	0.6217747123
656	0.7494806154	0.6213724601
657	0.7495739589	0.6211863594
658	0.749490508	0.6207549932
659	0.749576398	0.6205152683
660	0.74974016	0.6202629808
661	0.7499911366	0.6199866094
662	0.7502267268	0.6196868672
663	0.7501234944	0.6193111245
664	0.7507541429	0.6189262867
665	0.7508565771	0.6187348889
666	0.7510430762	0.6184469257
667	0.7511408431	0.6182829717
668	0.7513457655	0.6180209998
669	0.7512670002	0.6178829027
670	0.7514915759	0.6176361422
671	0.7514591452	0.6174294694
672	0.7516819018	0.6173180427
673	0.7516986723	0.617058149
674	0.7521167324	0.6168038961
675	0.7519791039	0.6164977709
676	0.7520656931	0.6163265367
677	0.7522309859	0.6160846169
678	0.7519805444	0.6159372246
679	0.7522607105	0.6156707871
680	0.7523936284	0.6155273307
681	0.7522625024	0.6152554828
682	0.7526875217	0.6150295708
683	0.7526039446	0.6148056416
684	0.7527676279	0.6144738915
685	0.7525782953	0.6141280555
686	0.7526227432	0.6139160755
687	0.7529776739	0.6136889414
688	0.7531734624	0.6132954178
689	0.7535147806	0.6129357033
690	0.7536517828	0.6127770547
691	0.7537266301	0.6125431234
692	0.7535284495	0.6122117571
693	0.7533833185	0.6119710636
694	0.7538294706	0.6117119953
695	0.7539094025	0.6114221781
696	0.7540965545	0.6110795457
697	0.7542881891	0.6108666335
698	0.7544324637	0.6105637707
699	0.7545047106	0.6102506107
